image_id,target_ar,decision_type,selected_k,delta_improve_vs_baseline,teacher_backend,teacher_confidence,validator_note,baseline_used_candidate_id
pond5_image_32036946,3:4,keep_full,1,0.0,qwen25_vl,0.5,,3x4_g12x12_smx2_i0004
pond5_image_32036946,4:3,crop,5,0.0,qwen25_vl,0.535167,,4x3_g12x12_smaxc_i0001
sstk_image_1760226062,1:1,keep_full,5,0.0,qwen25_vl,0.5,,1x1_g12x12_smaxc_i0001
sstk_image_1760226062,9:16,crop,5,0.0,qwen25_vl,1.0,,9x16_g12x12_smaxc_i0001
sstk_image_1760226062,16:9,keep_full,5,0.0,qwen25_vl,0.5,,16x9_g12x12_smaxc_i0001
sstk_image_1760226062,3:4,crop,5,0.0,qwen25_vl,1.0,,3x4_g12x12_smaxc_i0001
sstk_image_1760226062,4:3,keep_full,5,0.0,qwen25_vl,1.0,,4x3_g12x12_smaxc_i0001
sstk_image_1330253276,1:1,keep_full,5,0.0,qwen25_vl,0.5186730000000002,,1x1_g12x12_smaxc_i0001
sstk_image_1330253276,9:16,keep_full,5,0.0,qwen25_vl,1.0,,9x16_g12x12_smaxc_i0001
sstk_image_1330253276,16:9,keep_full,5,0.0,qwen25_vl,0.501056,,16x9_g12x12_smaxc_i0001
sstk_image_1330253276,3:4,keep_full,5,0.0,qwen25_vl,1.0,,3x4_g12x12_smaxc_i0001
sstk_image_1330253276,4:3,keep_full,5,0.0,qwen25_vl,0.5311139999999999,,4x3_g12x12_smaxc_i0001
sstk_image_2076606415,1:1,crop,5,0.0,qwen25_vl,1.0,,1x1_g12x12_smaxc_i0001
sstk_image_2076606415,9:16,crop,5,0.0,qwen25_vl,0.5,,9x16_g12x12_smaxc_i0001
sstk_image_2076606415,16:9,crop,5,0.0,qwen25_vl,1.0,,16x9_g12x12_smaxc_i0001
sstk_image_2076606415,3:4,crop,5,0.0,qwen25_vl,1.0,,3x4_g12x12_smaxc_i0001
sstk_image_2076606415,4:3,keep_full,5,0.0,qwen25_vl,1.0,,4x3_g12x12_smaxc_i0001
sstk_image_1944153295,1:1,keep_full,5,0.0,qwen25_vl,1.0,,1x1_g12x12_smaxc_i0001
sstk_image_1944153295,9:16,crop,5,0.0,qwen25_vl,1.0,,9x16_g12x12_smaxc_i0001
sstk_image_1944153295,16:9,crop,5,0.0,qwen25_vl,1.0,,16x9_g12x12_steach_cgs_proj0_i0001
sstk_image_1944153295,3:4,keep_full,5,0.0,qwen25_vl,0.5,,3x4_g12x12_smaxc_i0001
sstk_image_1944153295,4:3,keep_full,5,0.0,qwen25_vl,0.9141009999999999,,4x3_g12x12_smaxc_i0001
sstk_image_1528364276,1:1,keep_full,4,0.0,qwen25_vl,0.968196,,1x1_g12x12_smx1_i0003
sstk_image_1528364276,9:16,keep_full,5,0.0,qwen25_vl,1.0,,9x16_g12x12_smx1_i0003
sstk_image_1528364276,16:9,keep_full,5,0.0,qwen25_vl,1.0,,16x9_g12x12_smaxc_i0001
sstk_image_1528364276,3:4,keep_full,5,0.0,qwen25_vl,1.0,,3x4_g12x12_smx1_i0003
sstk_image_1528364276,4:3,keep_full,5,0.0,qwen25_vl,0.5,,4x3_g12x12_smaxc_i0001
pond5_image_158641577,1:1,keep_full,5,0.0,qwen25_vl,0.5,,1x1_g12x12_smaxc_i0001
pond5_image_158641577,9:16,keep_full,5,0.0,qwen25_vl,1.0,,9x16_g12x12_smx1_i0003
pond5_image_158641577,16:9,keep_full,5,0.0,qwen25_vl,1.0,,16x9_g12x12_smaxc_i0001
pond5_image_158641577,3:4,crop,5,0.0,qwen25_vl,0.502531,,3x4_g12x12_smx1_i0003
pond5_image_158641577,4:3,keep_full,5,0.0,qwen25_vl,0.5274349999999999,,4x3_g12x12_smaxc_i0001
sstk_image_672381601,1:1,crop,4,0.0,qwen25_vl,1.0,,1x1_g12x12_s4_i0053
sstk_image_672381601,9:16,keep_full,2,0.0,qwen25_vl,1.0,,9x16_g12x12_smx1_i0003
sstk_image_672381601,16:9,keep_full,5,0.0,qwen25_vl,1.0,,16x9_g12x12_smy1_i0003
sstk_image_672381601,3:4,keep_full,2,0.0,qwen25_vl,0.6867479999999999,,3x4_g12x12_smy1_i0003
sstk_image_672381601,4:3,crop,2,0.0,qwen25_vl,1.0,,4x3_g12x12_s2_i0040
sstk_image_2256628113,1:1,keep_full,5,0.0,qwen25_vl,1.0,,1x1_g12x12_smaxc_i0001
sstk_image_2256628113,9:16,keep_full,5,0.0,qwen25_vl,0.5,,9x16_g12x12_smaxc_i0001
sstk_image_2256628113,16:9,keep_full,5,0.0,qwen25_vl,0.5412410000000001,,16x9_g12x12_smaxc_i0001
sstk_image_2256628113,3:4,crop,5,0.0,qwen25_vl,1.0,,3x4_g12x12_smaxc_i0001
sstk_image_2256628113,4:3,keep_full,5,0.0,qwen25_vl,0.5225500000000001,,4x3_g12x12_smaxc_i0001
sstk_image_498932281,1:1,crop,5,0.0,qwen25_vl,1.0,,1x1_g12x12_smaxc_i0001
sstk_image_498932281,9:16,crop,5,0.0,qwen25_vl,1.0,,9x16_g12x12_smaxc_i0001
sstk_image_498932281,16:9,keep_full,5,0.0,qwen25_vl,1.0,,16x9_g12x12_smy2_i0003
sstk_image_498932281,3:4,crop,5,0.0,qwen25_vl,1.0,,3x4_g12x12_smaxc_i0001
sstk_image_498932281,4:3,keep_full,5,0.0,qwen25_vl,1.0,,4x3_g12x12_smaxc_i0001
sstk_image_392316445,1:1,crop,5,0.0,qwen25_vl,1.0,,1x1_g12x12_smaxc_i0001
sstk_image_392316445,9:16,crop,5,0.0,qwen25_vl,1.0,,9x16_g12x12_smaxc_i0001
sstk_image_392316445,16:9,crop,5,0.0,qwen25_vl,1.0,,16x9_g12x12_smaxc_i0001
sstk_image_392316445,3:4,crop,5,0.0,qwen25_vl,1.0,,3x4_g12x12_smaxc_i0001
sstk_image_392316445,4:3,keep_full,5,0.0,qwen25_vl,0.5,,4x3_g12x12_smaxc_i0001
pond5_image_58100333,1:1,crop,5,0.0,qwen25_vl,1.0,,1x1_g12x12_steach_cacnet_jit0_13_i0005
pond5_image_58100333,9:16,crop,5,0.0,qwen25_vl,0.7122269999999999,,9x16_g12x12_smaxc_i0001
pond5_image_58100333,16:9,crop,1,0.0,qwen25_vl,0.5,,16x9_g12x12_s1_i0029
pond5_image_58100333,3:4,keep_full,2,0.0,qwen25_vl,0.697665,,3x4_g12x12_smy0_i0002
pond5_image_58100333,4:3,crop,5,0.0,qwen25_vl,1.0,,4x3_g12x12_s2_i0033
bigstock_image_427310582,1:1,crop,5,0.0,qwen25_vl,1.0,,1x1_g12x12_smaxc_i0001
bigstock_image_427310582,9:16,keep_full,5,0.0,qwen25_vl,0.556982,,9x16_g12x12_smaxc_i0001
bigstock_image_427310582,16:9,crop,5,0.0,qwen25_vl,1.0,,16x9_g12x12_smaxc_i0001
bigstock_image_427310582,3:4,keep_full,5,0.0,qwen25_vl,0.554421,,3x4_g12x12_smaxc_i0001
bigstock_image_427310582,4:3,crop,5,0.0,qwen25_vl,1.0,,4x3_g12x12_smaxc_i0001
sstk_image_255303343,1:1,keep_full,5,0.0,qwen25_vl,0.5,,1x1_g12x12_smaxc_i0001
sstk_image_255303343,9:16,crop,5,0.0,qwen25_vl,0.5,,9x16_g12x12_smaxc_i0001
sstk_image_255303343,16:9,keep_full,5,0.0,qwen25_vl,1.0,,16x9_g12x12_smy2_i0004
sstk_image_255303343,3:4,crop,5,0.0,qwen25_vl,1.0,,3x4_g12x12_smaxc_i0001
sstk_image_255303343,4:3,keep_full,5,0.0,qwen25_vl,0.976602,,4x3_g12x12_smaxc_i0001
sstk_image_1032537781,1:1,keep_full,5,0.0,qwen25_vl,1.0,,1x1_g12x12_smaxc_i0001
sstk_image_1032537781,9:16,keep_full,5,0.0,qwen25_vl,1.0,,9x16_g12x12_smaxc_i0001
sstk_image_1032537781,16:9,keep_full,5,0.0,qwen25_vl,1.0,,16x9_g12x12_smaxc_i0001
sstk_image_1032537781,3:4,keep_full,5,0.0,qwen25_vl,1.0,,3x4_g12x12_smaxc_i0001
sstk_image_1032537781,4:3,keep_full,5,0.0,qwen25_vl,1.0,,4x3_g12x12_smaxc_i0001
sstk_image_581983456,1:1,crop,1,0.0,qwen25_vl,0.5,,1x1_g12x12_steach_gaic_jit0_23_i0005
sstk_image_581983456,9:16,keep_full,5,0.0,qwen25_vl,1.0,,9x16_g12x12_smaxc_i0001
sstk_image_581983456,16:9,keep_full,5,0.0,qwen25_vl,1.0,,16x9_g12x12_smaxc_i0001
sstk_image_581983456,3:4,crop,5,0.0,qwen25_vl,0.5,,3x4_g12x12_steach_cgs_proj0_i0004
sstk_image_581983456,4:3,keep_full,5,0.0,qwen25_vl,1.0,,4x3_g12x12_smaxc_i0001
sstk_image_2259351075,1:1,keep_full,5,0.0,qwen25_vl,0.50584,,1x1_g12x12_smaxc_i0001
sstk_image_2259351075,9:16,keep_full,1,0.0,qwen25_vl,0.5,,9x16_g12x12_smx1_i0003
sstk_image_2259351075,16:9,keep_full,5,0.0,qwen25_vl,1.0,,16x9_g12x12_smy1_i0002
sstk_image_2259351075,3:4,crop,5,0.0,qwen25_vl,1.0,,3x4_g12x12_smaxc_i0001
sstk_image_2259351075,4:3,keep_full,5,0.0,qwen25_vl,0.507582,,4x3_g12x12_smaxc_i0001
sstk_image_1737587903,1:1,crop,5,0.0,qwen25_vl,1.0,,1x1_g12x12_smaxc_i0001
sstk_image_1737587903,9:16,crop,5,0.0,qwen25_vl,0.5,,9x16_g12x12_smaxc_i0001
sstk_image_1737587903,16:9,keep_full,5,0.0,qwen25_vl,0.5,,16x9_g12x12_smaxc_i0001
sstk_image_1737587903,3:4,keep_full,5,0.0,qwen25_vl,1.0,,3x4_g12x12_smx1_i0003
sstk_image_1737587903,4:3,keep_full,5,0.0,qwen25_vl,0.5288059999999999,,4x3_g12x12_smaxc_i0001
sstk_image_2101673092,1:1,keep_full,2,0.0,qwen25_vl,0.591308,,1x1_g12x12_smx0_i0002
sstk_image_2101673092,9:16,keep_full,5,0.0,qwen25_vl,0.6147959999999997,,9x16_g12x12_smx1_i0003
sstk_image_2101673092,16:9,keep_full,3,0.0,qwen25_vl,0.545849,,16x9_g12x12_smy1_i0003
sstk_image_2101673092,3:4,keep_full,3,0.0,qwen25_vl,0.522822,,3x4_g12x12_smx0_i0002
sstk_image_2101673092,4:3,crop,5,0.0,qwen25_vl,0.5595359999999999,,4x3_g12x12_steach_cacnet_proj0_i0001
sstk_image_2256565717,1:1,keep_full,5,0.0,qwen25_vl,0.5,,1x1_g12x12_smaxc_i0001
sstk_image_2256565717,9:16,keep_full,5,0.0,qwen25_vl,0.5,,9x16_g12x12_smaxc_i0001
sstk_image_2256565717,16:9,keep_full,5,0.0,qwen25_vl,1.0,,16x9_g12x12_smaxc_i0001
sstk_image_2256565717,3:4,keep_full,5,0.0,qwen25_vl,0.5,,3x4_g12x12_smaxc_i0001
sstk_image_2256565717,4:3,keep_full,5,0.0,qwen25_vl,0.5,,4x3_g12x12_smaxc_i0001
pond5_image_119598077,1:1,keep_full,5,0.0,qwen25_vl,0.5,,1x1_g12x12_smaxc_i0001
pond5_image_119598077,9:16,crop,5,0.0,qwen25_vl,1.0,,9x16_g12x12_smaxc_i0001
pond5_image_119598077,16:9,keep_full,5,0.0,qwen25_vl,0.5968650000000001,,16x9_g12x12_smaxc_i0001
pond5_image_119598077,3:4,crop,5,0.0,qwen25_vl,1.0,,3x4_g12x12_smaxc_i0001
pond5_image_119598077,4:3,keep_full,5,0.0,qwen25_vl,0.5420389999999999,,4x3_g12x12_smaxc_i0001
sstk_image_1235169733,1:1,crop,5,0.0,qwen25_vl,1.0,,1x1_g12x12_smaxc_i0001
sstk_image_1235169733,9:16,crop,5,0.0,qwen25_vl,1.0,,9x16_g12x12_smx1_i0003
sstk_image_1235169733,16:9,crop,2,0.0,qwen25_vl,0.572648,,16x9_g12x12_steach_gaic_jit0_19_i0005
sstk_image_1235169733,3:4,crop,5,0.0,qwen25_vl,1.0,,3x4_g12x12_smx1_i0003
sstk_image_1235169733,4:3,keep_full,5,0.0,qwen25_vl,0.508246,,4x3_g12x12_smaxc_i0001
sstk_image_1445944226,1:1,keep_full,3,0.0,qwen25_vl,0.5,,1x1_g12x12_smx2_i0003
sstk_image_1445944226,9:16,keep_full,5,0.0,qwen25_vl,1.0,,9x16_g12x12_smx2_i0004
sstk_image_1445944226,16:9,keep_full,5,0.0,qwen25_vl,1.0,,16x9_g12x12_smaxc_i0001
sstk_image_1445944226,3:4,keep_full,5,0.0,qwen25_vl,1.0,,3x4_g12x12_smx2_i0004
sstk_image_1445944226,4:3,keep_full,4,0.0,qwen25_vl,0.5,,4x3_g12x12_smaxc_i0001
sstk_image_709647808,1:1,crop,5,0.0,qwen25_vl,1.0,,1x1_g12x12_smaxc_i0001
sstk_image_709647808,9:16,crop,5,0.0,qwen25_vl,0.580737,,9x16_g12x12_smaxc_i0001
sstk_image_709647808,16:9,crop,5,0.0,qwen25_vl,1.0,,16x9_g12x12_smaxc_i0001
sstk_image_709647808,3:4,keep_full,5,0.0,qwen25_vl,0.5251600000000001,,3x4_g12x12_smaxc_i0001
sstk_image_709647808,4:3,crop,5,0.0,qwen25_vl,1.0,,4x3_g12x12_smaxc_i0001
sstk_image_736725859,1:1,keep_full,5,0.0,qwen25_vl,0.5,,1x1_g12x12_smaxc_i0001
sstk_image_736725859,9:16,crop,5,0.0,qwen25_vl,1.0,,9x16_g12x12_smaxc_i0001
sstk_image_736725859,16:9,keep_full,5,0.0,qwen25_vl,0.5150680000000001,,16x9_g12x12_smaxc_i0001
sstk_image_736725859,3:4,crop,5,0.0,qwen25_vl,1.0,,3x4_g12x12_smaxc_i0001
sstk_image_736725859,4:3,keep_full,5,0.0,qwen25_vl,0.5,,4x3_g12x12_smaxc_i0001
sstk_image_688883812,1:1,keep_full,5,0.0,qwen25_vl,1.0,,1x1_g12x12_smaxc_i0001
sstk_image_688883812,9:16,keep_full,5,0.0,qwen25_vl,1.0,,9x16_g12x12_smaxc_i0001
sstk_image_688883812,16:9,keep_full,5,0.0,qwen25_vl,1.0,,16x9_g12x12_smaxc_i0001
sstk_image_688883812,3:4,keep_full,5,0.0,qwen25_vl,1.0,,3x4_g12x12_smaxc_i0001
sstk_image_688883812,4:3,keep_full,5,0.0,qwen25_vl,1.0,,4x3_g12x12_smaxc_i0001
bigstock_image_249573325,1:1,keep_full,5,0.0,qwen25_vl,0.5,,1x1_g12x12_smaxc_i0001
bigstock_image_249573325,9:16,crop,5,0.0,qwen25_vl,0.5,,9x16_g12x12_smaxc_i0001
bigstock_image_249573325,16:9,keep_full,5,0.0,qwen25_vl,0.5080689999999999,,16x9_g12x12_smaxc_i0001
bigstock_image_249573325,3:4,crop,5,0.0,qwen25_vl,0.5,,3x4_g12x12_smaxc_i0001
bigstock_image_249573325,4:3,keep_full,5,0.0,qwen25_vl,0.5210219999999999,,4x3_g12x12_smaxc_i0001
bigstock_image_5751897,1:1,keep_full,5,0.0,qwen25_vl,0.5,,1x1_g12x12_smaxc_i0001
bigstock_image_5751897,9:16,keep_full,5,0.0,qwen25_vl,0.5,,9x16_g12x12_smaxc_i0001
bigstock_image_5751897,16:9,keep_full,5,0.0,qwen25_vl,1.0,,16x9_g12x12_smaxc_i0001
bigstock_image_5751897,3:4,keep_full,5,0.0,qwen25_vl,0.5,,3x4_g12x12_smaxc_i0001
bigstock_image_5751897,4:3,keep_full,5,0.0,qwen25_vl,0.5,,4x3_g12x12_smaxc_i0001
sstk_image_635478968,1:1,keep_full,5,0.0,qwen25_vl,1.0,,1x1_g12x12_smaxc_i0001
sstk_image_635478968,9:16,keep_full,5,0.0,qwen25_vl,1.0,,9x16_g12x12_smaxc_i0001
sstk_image_635478968,16:9,keep_full,5,0.0,qwen25_vl,0.5,,16x9_g12x12_smaxc_i0001
sstk_image_635478968,3:4,keep_full,5,0.0,qwen25_vl,1.0,,3x4_g12x12_smaxc_i0001
sstk_image_635478968,4:3,keep_full,5,0.0,qwen25_vl,1.0,,4x3_g12x12_smaxc_i0001
sstk_image_1681704610,1:1,keep_full,5,0.0,qwen25_vl,1.0,,1x1_g12x12_smaxc_i0001
sstk_image_1681704610,9:16,keep_full,5,0.0,qwen25_vl,0.5,,9x16_g12x12_smaxc_i0001
sstk_image_1681704610,16:9,keep_full,5,0.0,qwen25_vl,0.7479840000000001,,16x9_g12x12_smaxc_i0001
sstk_image_1681704610,3:4,keep_full,5,0.0,qwen25_vl,1.0,,3x4_g12x12_smaxc_i0001
sstk_image_1681704610,4:3,crop,5,0.0,qwen25_vl,0.9218219999999999,,4x3_g12x12_smaxc_i0001
sstk_image_401922541,1:1,crop,5,0.0,qwen25_vl,0.5028620000000001,,1x1_g12x12_smaxc_i0001
sstk_image_401922541,9:16,keep_full,5,0.0,qwen25_vl,0.5230000000000001,,9x16_g12x12_smaxc_i0001
sstk_image_401922541,16:9,keep_full,5,0.0,qwen25_vl,0.5082990000000001,,16x9_g12x12_smaxc_i0001
sstk_image_401922541,3:4,keep_full,5,0.0,qwen25_vl,0.5530600000000001,,3x4_g12x12_smaxc_i0001
sstk_image_401922541,4:3,keep_full,5,0.0,qwen25_vl,0.5144790000000001,,4x3_g12x12_smaxc_i0001
sstk_image_731468185,1:1,crop,5,0.0,qwen25_vl,1.0,,1x1_g12x12_smy1_i0003
sstk_image_731468185,9:16,keep_full,5,0.0,qwen25_vl,0.5166210000000007,,9x16_g12x12_smx0_i0002
sstk_image_731468185,16:9,crop,5,0.0,qwen25_vl,0.5,,16x9_g12x12_steach_cacnet_jit0_13_i0008
sstk_image_731468185,3:4,crop,5,0.0,qwen25_vl,1.0,,3x4_g12x12_smy1_i0003
sstk_image_731468185,4:3,crop,5,0.0,qwen25_vl,1.0,,4x3_g12x12_smy1_i0003
sstk_image_548134252,1:1,keep_full,5,0.0,qwen25_vl,0.514448,,1x1_g12x12_smaxc_i0001
sstk_image_548134252,9:16,crop,5,0.0,qwen25_vl,1.0,,9x16_g12x12_smaxc_i0001
sstk_image_548134252,16:9,keep_full,5,0.0,qwen25_vl,0.5048679999999999,,16x9_g12x12_smaxc_i0001
sstk_image_548134252,3:4,keep_full,5,0.0,qwen25_vl,0.512743,,3x4_g12x12_smaxc_i0001
sstk_image_548134252,4:3,keep_full,5,0.0,qwen25_vl,0.526959,,4x3_g12x12_smaxc_i0001
pond5_image_245714401,1:1,keep_full,5,0.0,qwen25_vl,0.5,,1x1_g12x12_smaxc_i0001
pond5_image_245714401,9:16,crop,5,0.0,qwen25_vl,1.0,,9x16_g12x12_smx0_i0002
pond5_image_245714401,16:9,keep_full,5,0.0,qwen25_vl,0.5,,16x9_g12x12_smaxc_i0001
pond5_image_245714401,3:4,keep_full,3,0.0,qwen25_vl,1.0,,3x4_g12x12_smx1_i0003
pond5_image_245714401,4:3,keep_full,5,0.0,qwen25_vl,1.0,,4x3_g12x12_smaxc_i0001
sstk_image_1870234546,1:1,keep_full,5,0.0,qwen25_vl,1.0,,1x1_g12x12_smaxc_i0001
sstk_image_1870234546,9:16,keep_full,5,0.0,qwen25_vl,1.0,,9x16_g12x12_smaxc_i0001
sstk_image_1870234546,16:9,keep_full,5,0.0,qwen25_vl,1.0,,16x9_g12x12_smaxc_i0001
sstk_image_1870234546,3:4,keep_full,5,0.0,qwen25_vl,1.0,,3x4_g12x12_smaxc_i0001
sstk_image_1870234546,4:3,keep_full,5,0.0,qwen25_vl,1.0,,4x3_g12x12_smaxc_i0001
sstk_image_2061015101,1:1,crop,5,0.0,qwen25_vl,0.5,,1x1_g12x12_smaxc_i0001
sstk_image_2061015101,9:16,crop,5,0.0,qwen25_vl,1.0,,9x16_g12x12_smaxc_i0001
sstk_image_2061015101,16:9,keep_full,5,0.0,qwen25_vl,0.511137,,16x9_g12x12_smaxc_i0001
sstk_image_2061015101,3:4,crop,5,0.0,qwen25_vl,0.5092450000000002,,3x4_g12x12_smaxc_i0001
sstk_image_2061015101,4:3,keep_full,5,0.0,qwen25_vl,0.5303659999999999,,4x3_g12x12_smaxc_i0001
sstk_image_1976333639,1:1,keep_full,5,0.0,qwen25_vl,1.0,,1x1_g12x12_smaxc_i0001
sstk_image_1976333639,9:16,keep_full,5,0.0,qwen25_vl,0.8300770000000002,,9x16_g12x12_smaxc_i0001
sstk_image_1976333639,16:9,keep_full,5,0.0,qwen25_vl,1.0,,16x9_g12x12_smaxc_i0001
sstk_image_1976333639,3:4,keep_full,5,0.0,qwen25_vl,1.0,,3x4_g12x12_smaxc_i0001
sstk_image_1976333639,4:3,keep_full,5,0.0,qwen25_vl,1.0,,4x3_g12x12_smaxc_i0001
sstk_image_1566222097,1:1,keep_full,5,0.0,qwen25_vl,0.5012720000000002,,1x1_g12x12_smaxc_i0001
sstk_image_1566222097,9:16,keep_full,5,0.0,qwen25_vl,1.0,,9x16_g12x12_smaxc_i0001
sstk_image_1566222097,16:9,minimal_crop,5,0.0,qwen25_vl,0.5008349999999999,,16x9_g12x12_steach_gaic_proj0_i0002
sstk_image_1566222097,3:4,crop,5,0.0,qwen25_vl,1.0,,3x4_g12x12_smaxc_i0001
sstk_image_1566222097,4:3,keep_full,5,0.0,qwen25_vl,0.510745,,4x3_g12x12_smaxc_i0001
sstk_image_102697559,1:1,crop,5,0.0,qwen25_vl,1.0,,1x1_g12x12_steach_cgs_jit0_19_i0004
sstk_image_102697559,9:16,keep_full,5,0.0,qwen25_vl,1.0,,9x16_g12x12_smaxc_i0001
sstk_image_102697559,16:9,crop,5,0.0,qwen25_vl,1.0,,16x9_g12x12_steach_cgs_jit0_13_i0007
sstk_image_102697559,3:4,keep_full,5,0.0,qwen25_vl,1.0,,3x4_g12x12_smx0_i0002
sstk_image_102697559,4:3,keep_full,5,0.0,qwen25_vl,1.0,,4x3_g12x12_smy2_i0003
sstk_image_393935044,1:1,keep_full,5,0.0,qwen25_vl,1.0,,1x1_g12x12_smaxc_i0001
sstk_image_393935044,9:16,keep_full,5,0.0,qwen25_vl,1.0,,9x16_g12x12_smaxc_i0001
sstk_image_393935044,16:9,keep_full,5,0.0,qwen25_vl,1.0,,16x9_g12x12_smaxc_i0001
sstk_image_393935044,3:4,keep_full,5,0.0,qwen25_vl,1.0,,3x4_g12x12_smaxc_i0001
sstk_image_393935044,4:3,keep_full,5,0.0,qwen25_vl,1.0,,4x3_g12x12_smaxc_i0001
sstk_image_319469393,1:1,crop,5,0.0,qwen25_vl,1.0,,1x1_g12x12_smaxc_i0001
sstk_image_319469393,9:16,keep_full,1,0.0,qwen25_vl,0.5,,9x16_g12x12_smx0_i0002
sstk_image_319469393,16:9,crop,5,0.0,qwen25_vl,1.0,,16x9_g12x12_smy1_i0003
sstk_image_319469393,3:4,crop,5,0.0,qwen25_vl,0.5,,3x4_g12x12_smaxc_i0001
sstk_image_319469393,4:3,crop,5,0.0,qwen25_vl,1.0,,4x3_g12x12_smaxc_i0001
bigstock_image_180474223,1:1,crop,5,0.0,qwen25_vl,1.0,,1x1_g12x12_smaxc_i0001
bigstock_image_180474223,9:16,crop,5,0.0,qwen25_vl,1.0,,9x16_g12x12_smaxc_i0001
bigstock_image_180474223,16:9,crop,5,0.0,qwen25_vl,0.542055,,16x9_g12x12_smaxc_i0001
bigstock_image_180474223,3:4,crop,5,0.0,qwen25_vl,1.0,,3x4_g12x12_smaxc_i0001
bigstock_image_180474223,4:3,crop,5,0.0,qwen25_vl,1.0,,4x3_g12x12_smaxc_i0001
bigstock_image_149147297,1:1,keep_full,5,0.0,qwen25_vl,0.5,,1x1_g12x12_smaxc_i0001
bigstock_image_149147297,9:16,keep_full,5,0.0,qwen25_vl,0.5,,9x16_g12x12_smaxc_i0001
bigstock_image_149147297,16:9,keep_full,5,0.0,qwen25_vl,0.5,,16x9_g12x12_smaxc_i0001
bigstock_image_149147297,3:4,keep_full,5,0.0,qwen25_vl,0.5,,3x4_g12x12_smaxc_i0001
