source_image_id,image_route_name_no_placement,image_v16_summary_mode_aux,image_flat_route_class_aux,image_route_family_v2,image_person_shot_type,image_context_intent,image_routing_confidence,positive_total,ar_mode_group_count,shown_crop_count,review_image,source_image,mode_counts_json,target_ar_counts_json,routing_v2_counts_json,flat_route_counts_json
bigstock_image_249893989,person_single_upper_half_body,person_single_upper_half_body,person_single|upper_half_body|center|balanced|feasible,person_single,upper_half_body,balanced,0.95,7,7,7,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_bigstock_image_249893989.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/bigstock_image_249893989.jpg,"{""person_single_face_headshot_center"": 5, ""scene_center"": 2}","{""16:9"": 1, ""1:1"": 1, ""3:4"": 1, ""4:3"": 1, ""9:16"": 1, ""FREE"": 2}","{""person_single/face_headshot/center/tight_subject/feasible"": 5, ""scene/na/center/balanced/feasible"": 2}","{""person_single|face_headshot|center|tight_subject|feasible"": 5, ""scene|na|center|balanced|feasible"": 2}"
sstk_image_322792556,person_single_upper_half_body,person_single_upper_half_body,person_single|upper_half_body|center|balanced|feasible,person_single,upper_half_body,balanced,0.83,10,10,10,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_sstk_image_322792556.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/sstk_image_322792556.jpg,"{""person_single_face_headshot_center"": 5, ""person_single_upper_half_body_center"": 2, ""scene_center"": 3}","{""16:9"": 1, ""1:1"": 1, ""3:4"": 3, ""4:3"": 1, ""9:16"": 1, ""FREE"": 3}","{""person_single/face_headshot/center/tight_subject/feasible"": 5, ""person_single/upper_half_body/center/balanced/feasible"": 2, ""scene/na/center/balanced/feasible"": 3}","{""person_single|face_headshot|center|tight_subject|feasible"": 5, ""person_single|upper_half_body|center|balanced|feasible"": 2, ""scene|na|center|balanced|feasible"": 3}"
bigstock_image_406393328,person_single_upper_half_body,person_single_upper_half_body,person_single|upper_half_body|center|balanced|feasible,person_single,upper_half_body,balanced,0.95,11,11,11,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_bigstock_image_406393328.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/bigstock_image_406393328.jpg,"{""person_single_face_headshot_center"": 6, ""person_single_upper_half_body_center"": 2, ""person_single_upper_half_body_rot"": 1, ""scene_center"": 2}","{""16:9"": 1, ""1:1"": 1, ""3:4"": 3, ""4:3"": 1, ""9:16"": 1, ""FREE"": 4}","{""person_single/face_headshot/center/tight_subject/feasible"": 6, ""person_single/upper_half_body/center/balanced/feasible"": 2, ""person_single/upper_half_body/rot/balanced/feasible"": 1, ""scene/na/center/balanced/feasible"": 2}","{""person_single|face_headshot|center|tight_subject|feasible"": 6, ""person_single|upper_half_body|center|balanced|feasible"": 2, ""person_single|upper_half_body|rot|balanced|feasible"": 1, ""scene|na|center|balanced|feasible"": 2}"
pond5_image_132742379,person_single_upper_half_body,person_single_upper_half_body,person_single|upper_half_body|center|balanced|feasible,person_single,upper_half_body,balanced,0.95,8,8,8,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_pond5_image_132742379.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/pond5_image_132742379.jpg,"{""person_single_face_headshot_center"": 6, ""scene_center"": 2}","{""16:9"": 1, ""1:1"": 1, ""3:4"": 2, ""4:3"": 1, ""9:16"": 1, ""FREE"": 2}","{""person_single/face_headshot/center/tight_subject/feasible"": 6, ""scene/na/center/balanced/feasible"": 2}","{""person_single|face_headshot|center|tight_subject|feasible"": 6, ""scene|na|center|balanced|feasible"": 2}"
bigstock_image_85050737,person_group,person_group,person_group|na|center|balanced|feasible,person_group,,balanced,0.99,8,8,8,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_bigstock_image_85050737.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/bigstock_image_85050737.jpg,"{""person_single_face_headshot_center"": 6, ""scene_center"": 2}","{""16:9"": 1, ""1:1"": 1, ""3:4"": 1, ""4:3"": 2, ""9:16"": 1, ""FREE"": 2}","{""person_single/face_headshot/center/tight_subject/feasible"": 6, ""scene/na/center/balanced/feasible"": 2}","{""person_single|face_headshot|center|tight_subject|feasible"": 6, ""scene|na|center|balanced|feasible"": 2}"
pond5_image_32016262,person_single_full_body,person_single_full_body,person_single|full_body|center|environmental|feasible,person_single,full_body,environmental,0.99,27,27,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_pond5_image_32016262.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/pond5_image_32016262.jpg,"{""person_single_face_headshot_center"": 3, ""person_single_full_body_center"": 6, ""person_single_full_body_rot"": 5, ""person_single_upper_half_body_center"": 4, ""person_single_upper_half_body_rot"": 4, ""scene_center"": 5}","{""16:9"": 5, ""1:1"": 5, ""3:4"": 5, ""4:3"": 5, ""9:16"": 2, ""FREE"": 5}","{""person_single/face_headshot/center/tight_subject/feasible"": 3, ""person_single/full_body/center/balanced/feasible"": 6, ""person_single/full_body/rot/balanced/feasible"": 5, ""person_single/upper_half_body/center/balanced/feasible"": 4, ""person_single/upper_half_body/rot/balanced/feasible"": 4, ""scene/na/center/balanced/feasible"": 5}","{""person_single|face_headshot|center|tight_subject|feasible"": 3, ""person_single|full_body|center|balanced|feasible"": 6, ""person_single|full_body|rot|balanced|feasible"": 5, ""person_single|upper_half_body|center|balanced|feasible"": 4, ""person_single|upper_half_body|rot|balanced|feasible"": 4, ""scene|na|center|balanced|feasible"": 5}"
sstk_image_1214980858,person_group,person_group,person_group|na|center|balanced|feasible,person_group,,balanced,0.99,16,16,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_sstk_image_1214980858.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/sstk_image_1214980858.jpg,"{""person_group_center"": 3, ""person_group_rot"": 3, ""person_single_full_body_center"": 3, ""person_single_full_body_rot"": 2, ""person_single_upper_half_body_center"": 3, ""person_single_upper_half_body_rot"": 1, ""scene_center"": 1}","{""3:4"": 6, ""9:16"": 4, ""FREE"": 6}","{""person_group/na/center/balanced/feasible"": 3, ""person_group/na/rot/balanced/feasible"": 3, ""person_single/full_body/center/balanced/feasible"": 3, ""person_single/full_body/rot/balanced/feasible"": 2, ""person_single/upper_half_body/center/balanced/feasible"": 3, ""person_single/upper_half_body/rot/balanced/feasible"": 1, ""scene/na/center/balanced/feasible"": 1}","{""person_group|na|center|balanced|feasible"": 3, ""person_group|na|rot|balanced|feasible"": 3, ""person_single|full_body|center|balanced|feasible"": 3, ""person_single|full_body|rot|balanced|feasible"": 2, ""person_single|upper_half_body|center|balanced|feasible"": 3, ""person_single|upper_half_body|rot|balanced|feasible"": 1, ""scene|na|center|balanced|feasible"": 1}"
sstk_image_80436817,pet_dogcat,pet_dogcat,pet_dogcat|na|center|tight_subject|feasible,pet_dogcat,,tight_subject,0.732978,14,14,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_sstk_image_80436817.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/sstk_image_80436817.jpg,"{""person_single_face_headshot_center"": 3, ""person_single_full_body_center"": 5, ""person_single_full_body_rot"": 4, ""scene_center"": 2}","{""16:9"": 1, ""1:1"": 3, ""3:4"": 3, ""4:3"": 3, ""9:16"": 1, ""FREE"": 3}","{""person_single/face_headshot/center/tight_subject/feasible"": 3, ""person_single/full_body/center/balanced/feasible"": 5, ""person_single/full_body/rot/balanced/feasible"": 4, ""scene/na/center/balanced/feasible"": 2}","{""person_single|face_headshot|center|tight_subject|feasible"": 3, ""person_single|full_body|center|balanced|feasible"": 5, ""person_single|full_body|rot|balanced|feasible"": 4, ""scene|na|center|balanced|feasible"": 2}"
pond5_image_154713039,person_single_full_body,person_single_full_body,person_single|full_body|center|environmental|feasible,person_single,full_body,environmental,0.99,11,11,11,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_pond5_image_154713039.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/pond5_image_154713039.jpg,"{""person_single_face_headshot_center"": 3, ""person_single_full_body_center"": 3, ""person_single_full_body_rot"": 3, ""scene_center"": 2}","{""1:1"": 1, ""3:4"": 4, ""9:16"": 2, ""FREE"": 4}","{""person_single/face_headshot/center/tight_subject/feasible"": 3, ""person_single/full_body/center/balanced/feasible"": 3, ""person_single/full_body/rot/balanced/feasible"": 3, ""scene/na/center/balanced/feasible"": 2}","{""person_single|face_headshot|center|tight_subject|feasible"": 3, ""person_single|full_body|center|balanced|feasible"": 3, ""person_single|full_body|rot|balanced|feasible"": 3, ""scene|na|center|balanced|feasible"": 2}"
sstk_image_2038199129,person_group,person_group,person_group|na|center|balanced|feasible,person_group,,balanced,0.99,17,14,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_sstk_image_2038199129.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/sstk_image_2038199129.jpg,"{""person_group_center"": 3, ""person_single_face_headshot_center"": 4, ""person_single_full_body_center"": 5, ""person_single_full_body_rot"": 4, ""scene_center"": 1}","{""1:1"": 1, ""3:4"": 4, ""9:16"": 6, ""FREE"": 6}","{""person_group/na/center/balanced/feasible"": 3, ""person_single/face_headshot/center/tight_subject/feasible"": 4, ""person_single/full_body/center/balanced/feasible"": 5, ""person_single/full_body/rot/balanced/feasible"": 4, ""scene/na/center/balanced/feasible"": 1}","{""person_group|na|center|balanced|feasible"": 3, ""person_single|face_headshot|center|tight_subject|feasible"": 4, ""person_single|full_body|center|balanced|feasible"": 5, ""person_single|full_body|rot|balanced|feasible"": 4, ""scene|na|center|balanced|feasible"": 1}"
sstk_image_1926075149,person_group,person_group,person_group|na|center|balanced|feasible,person_group,,balanced,0.99,19,19,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_sstk_image_1926075149.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/sstk_image_1926075149.jpg,"{""person_single_face_headshot_center"": 2, ""person_single_full_body_center"": 5, ""person_single_full_body_rot"": 5, ""person_single_upper_half_body_center"": 1, ""person_single_upper_half_body_rot"": 1, ""scene_center"": 5}","{""16:9"": 3, ""1:1"": 4, ""3:4"": 4, ""4:3"": 5, ""FREE"": 3}","{""person_single/face_headshot/center/tight_subject/feasible"": 2, ""person_single/full_body/center/balanced/feasible"": 5, ""person_single/full_body/rot/balanced/feasible"": 5, ""person_single/upper_half_body/center/balanced/feasible"": 1, ""person_single/upper_half_body/rot/balanced/feasible"": 1, ""scene/na/center/balanced/feasible"": 5}","{""person_single|face_headshot|center|tight_subject|feasible"": 2, ""person_single|full_body|center|balanced|feasible"": 5, ""person_single|full_body|rot|balanced|feasible"": 5, ""person_single|upper_half_body|center|balanced|feasible"": 1, ""person_single|upper_half_body|rot|balanced|feasible"": 1, ""scene|na|center|balanced|feasible"": 5}"
sstk_image_691013635,scene,scene,scene|na|center|balanced|feasible,scene,,balanced,0.6,17,17,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_sstk_image_691013635.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/sstk_image_691013635.jpg,"{""person_single_face_headshot_center"": 2, ""person_single_full_body_center"": 3, ""person_single_full_body_rot"": 6, ""scene_center"": 6}","{""16:9"": 2, ""1:1"": 4, ""3:4"": 3, ""4:3"": 3, ""9:16"": 2, ""FREE"": 3}","{""person_single/face_headshot/center/tight_subject/feasible"": 2, ""person_single/full_body/center/balanced/feasible"": 3, ""person_single/full_body/rot/balanced/feasible"": 6, ""scene/na/center/balanced/feasible"": 6}","{""person_single|face_headshot|center|tight_subject|feasible"": 2, ""person_single|full_body|center|balanced|feasible"": 3, ""person_single|full_body|rot|balanced|feasible"": 6, ""scene|na|center|balanced|feasible"": 6}"
