image_id,image_route_name_no_placement,route_family_v2,person_shot_type,context_intent,routing_confidence,flat_route_class,card
sstk_image_1908123199,person_single_full_body,person_single,full_body,environmental,0.99,person_single|full_body|center|environmental|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/030_sstk_image_1908123199.jpg
bigstock_image_361755,person_single_full_body,person_single,full_body,environmental,0.99,person_single|full_body|center|environmental|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/031_bigstock_image_361755.jpg
sstk_image_1323695174,person_single_full_body,person_single,full_body,environmental,0.99,person_single|full_body|center|environmental|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/032_sstk_image_1323695174.jpg
bigstock_image_1680326,person_single_full_body,person_single,full_body,environmental,0.99,person_single|full_body|center|environmental|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/033_bigstock_image_1680326.jpg
sstk_image_2213458385,person_group,person_group,na,balanced,0.99,person_group|na|center|balanced|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/034_sstk_image_2213458385.jpg
sstk_image_1727882314,person_group,person_group,na,balanced,0.99,person_group|na|center|balanced|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/035_sstk_image_1727882314.jpg
sstk_image_1373782136,person_group,person_group,na,balanced,0.99,person_group|na|center|balanced|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/036_sstk_image_1373782136.jpg
pond5_image_150090265,person_group,person_group,na,balanced,0.99,person_group|na|center|balanced|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/037_pond5_image_150090265.jpg
pond5_image_229863653,person_group,person_group,na,balanced,0.99,person_group|na|center|balanced|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/038_pond5_image_229863653.jpg
sstk_image_797830609,person_group,person_group,na,balanced,0.99,person_group|na|center|balanced|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/039_sstk_image_797830609.jpg
sstk_image_1469762474,person_group,person_group,na,balanced,0.99,person_group|na|center|balanced|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/040_sstk_image_1469762474.jpg
pond5_image_168218212,person_group,person_group,na,balanced,0.99,person_group|na|center|balanced|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/041_pond5_image_168218212.jpg
bigstock_image_286519432,pet_dogcat,pet_dogcat,na,tight_subject,0.877898,pet_dogcat|na|center|tight_subject|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/042_bigstock_image_286519432.jpg
pond5_image_144348915,pet_dogcat,pet_dogcat,na,tight_subject,0.872846,pet_dogcat|na|center|tight_subject|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/043_pond5_image_144348915.jpg
bigstock_image_331768912,pet_dogcat,pet_dogcat,na,tight_subject,0.87267,pet_dogcat|na|center|tight_subject|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/044_bigstock_image_331768912.jpg
pond5_image_166785808,pet_dogcat,pet_dogcat,na,tight_subject,0.858845,pet_dogcat|na|center|tight_subject|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/045_pond5_image_166785808.jpg
sstk_image_213412870,pet_dogcat,pet_dogcat,na,tight_subject,0.838656,pet_dogcat|na|center|tight_subject|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/046_sstk_image_213412870.jpg
sstk_image_2138069669,pet_dogcat,pet_dogcat,na,tight_subject,0.836646,pet_dogcat|na|center|tight_subject|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/047_sstk_image_2138069669.jpg
sstk_image_1894599520,pet_dogcat,pet_dogcat,na,tight_subject,0.826688,pet_dogcat|na|center|tight_subject|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/048_sstk_image_1894599520.jpg
sstk_image_2107409291,pet_dogcat,pet_dogcat,na,tight_subject,0.82426,pet_dogcat|na|center|tight_subject|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/049_sstk_image_2107409291.jpg
