source_image_id,image_route,legacy_subject_mode,routing_confidence,face_ratio,ankle_conf_max,ankle_y_norm,pose_bbox_height_ratio,lower_body_reliable,reasons,in_selected_panel,issue_type,caption,user_marked
bigstock_image_187705027,person_single_face_headshot,portrait_single,0.95,0.101231,0.949247,0.803383,0.690642,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,True
bigstock_image_190315612,person_single_face_headshot,portrait_single,0.95,0.071024,0.78509,0.889577,0.939234,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
bigstock_image_191689474,person_single_face_headshot,portrait_single,0.95,0.071749,1.0,0.992235,0.971897,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
bigstock_image_199044151,person_single_face_headshot,portrait_single,0.95,0.052513,0.969641,0.82285,0.685836,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,True
bigstock_image_199091824,person_single_face_headshot,portrait_single,0.95,0.07117,0.58748,0.896435,0.686295,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
bigstock_image_200482714,person_single_face_headshot,portrait_single,0.95,0.114352,0.891225,0.86443,0.833476,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
bigstock_image_219853114,person_single_face_headshot,portrait_single,0.95,0.05976,0.905676,0.755749,0.525711,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
bigstock_image_245745289,person_single_face_headshot,portrait_single,0.95,0.052121,0.962174,0.926467,0.917598,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
bigstock_image_249216229,person_single_face_headshot,portrait_single,0.95,0.074638,0.933288,0.737064,0.617913,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
bigstock_image_406470290,person_single_face_headshot,portrait_single,0.95,0.105977,0.922036,0.717147,0.590898,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
bigstock_image_408851474,person_single_face_headshot,portrait_single,0.95,0.096206,0.980689,0.854501,0.817817,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
bigstock_image_426945167,person_single_face_headshot,portrait_single,0.95,0.070818,0.685844,0.893777,0.637876,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
bigstock_image_457513959,person_single_face_headshot,portrait_single,0.95,0.016407,0.887574,0.622688,0.758583,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
bigstock_image_466004039,person_single_face_headshot,portrait_single,0.95,0.128686,0.959259,0.853302,0.820213,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
bigstock_image_476757771,person_single_face_headshot,portrait_single,0.95,0.082651,0.916958,0.863739,0.69614,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
bigstock_image_72073333,person_single_face_headshot,portrait_single,0.95,0.129179,0.384387,0.976657,0.724216,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
bigstock_image_90909815,person_single_face_headshot,portrait_single,0.95,0.08004,0.920256,0.882191,0.815396,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
bigstock_image_93121136,person_single_face_headshot,portrait_single,0.95,0.128172,0.854461,0.861394,0.758143,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_105998157,person_single_face_headshot,portrait_single,0.95,0.057278,0.705572,0.865867,0.47046,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_106373524,person_single_face_headshot,portrait_single,0.95,0.097673,0.386599,1.0,0.800181,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_108430986,person_single_face_headshot,portrait_single,0.95,0.036411,0.554415,0.863131,0.628775,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_117431692,person_single_face_headshot,portrait_single,0.95,0.074857,0.98069,0.975019,0.735427,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_11795746,person_single_face_headshot,portrait_single,0.95,0.048243,0.648947,0.373935,0.906369,False,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=0,False
pond5_image_118534602,person_single_face_headshot,portrait_single,0.95,0.1146,0.880494,0.974936,0.945894,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_119519343,person_single_face_headshot,portrait_single,0.95,0.11672,0.882076,0.816487,0.783693,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_119631240,person_single_face_headshot,portrait_single,0.83,0.101318,0.911645,0.857375,0.711596,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_120032575,person_single_face_headshot,portrait_single,0.95,0.076997,0.914025,0.911696,0.796276,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_122491587,person_single_face_headshot,portrait_single,0.95,0.098523,0.921144,0.801703,0.758724,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_124301677,person_single_face_headshot,portrait_single,0.95,0.093901,0.664761,1.0,0.818892,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_127666074,person_single_face_headshot,portrait_single,0.95,0.049649,0.981792,0.91511,0.790201,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_136180275,person_single_face_headshot,portrait_single,0.95,0.096559,0.698041,0.926918,0.754107,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_136612440,person_single_face_headshot,portrait_single,0.95,0.047303,0.926294,0.83218,0.592765,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_136898009,person_single_face_headshot,portrait_single,0.95,0.097042,0.930289,0.889348,0.681948,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_140830160,person_single_face_headshot,portrait_single,0.95,0.075471,0.921097,0.839755,0.836716,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_148791373,person_single_face_headshot,portrait_single,0.95,0.076788,0.780415,0.606569,0.580222,False,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=0,False
pond5_image_153492599,person_single_face_headshot,portrait_single,0.95,0.100054,0.75414,0.766847,0.422429,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_155782960,person_single_face_headshot,portrait_single,0.95,0.063432,0.594126,0.912377,0.456606,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_157870092,person_single_face_headshot,portrait_single,0.95,0.064589,0.932836,0.770011,0.540722,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_159480603,person_single_face_headshot,portrait_single,0.95,0.043809,0.906084,0.842351,0.809366,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_160583690,person_single_face_headshot,portrait_single,0.95,0.112962,0.708851,0.76351,0.466759,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_168418156,person_single_face_headshot,portrait_single,0.95,0.055556,0.687914,0.734902,0.593215,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_169764872,person_single_face_headshot,portrait_single,0.95,0.097911,0.889605,1.0,0.912666,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_179037741,person_single_face_headshot,portrait_single,0.95,0.052125,0.937318,0.844463,0.765346,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_201878645,person_single_face_headshot,portrait_single,0.95,0.101354,0.935131,0.920512,0.901686,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_205156427,person_single_face_headshot,portrait_single,0.95,0.026496,0.837868,0.915545,0.778561,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_205822259,person_single_face_headshot,portrait_single,0.95,0.064548,0.865741,0.574621,0.578101,False,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=0,False
pond5_image_206907117,person_single_face_headshot,portrait_single,0.95,0.0505,0.968529,0.857588,0.894653,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_218329919,person_single_face_headshot,portrait_single,0.95,0.075532,0.497025,1.0,0.973095,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_220726210,person_single_face_headshot,portrait_single,0.95,0.114701,0.381292,1.0,0.959619,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_237400310,person_single_face_headshot,portrait_single,0.95,0.093356,0.548419,0.79315,0.887809,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_238610675,person_single_face_headshot,portrait_single,0.83,0.090716,0.872174,0.909216,0.706563,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_242328393,person_single_face_headshot,portrait_single,0.83,0.096877,0.703142,0.99817,0.702253,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_42274147,person_single_face_headshot,portrait_single,0.95,0.040633,0.876744,0.552209,0.479712,False,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=0,False
pond5_image_64069172,person_single_face_headshot,portrait_single,0.95,0.093854,0.606891,1.0,0.790779,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_64621618,person_single_face_headshot,portrait_single,0.83,0.079639,0.401096,0.884657,0.722221,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_77358052,person_single_face_headshot,portrait_single,0.95,0.076625,0.887439,1.0,0.790891,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_81637438,person_single_face_headshot,portrait_single,0.95,0.106382,0.906844,0.827161,0.77133,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_82377341,person_single_face_headshot,portrait_single,0.95,0.072093,0.862152,0.929153,0.695115,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_82822524,person_single_face_headshot,portrait_single,0.95,0.080495,0.791802,0.883233,0.786874,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_87513831,person_single_face_headshot,portrait_single,0.95,0.050286,1.0,0.73989,0.59665,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_93376506,person_single_face_headshot,portrait_single,0.95,0.082416,0.960416,0.338138,0.368885,False,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=0,False
pond5_image_93634146,person_single_face_headshot,portrait_single,0.95,0.090527,0.938441,0.745086,0.579415,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_94511956,person_single_face_headshot,portrait_single,0.95,0.103266,0.308317,0.955101,0.980554,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_96362707,person_single_face_headshot,portrait_single,0.95,0.106496,0.992157,0.794778,0.903768,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_98369309,person_single_face_headshot,portrait_single,0.83,0.053915,0.926832,0.890566,0.673063,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_100799428,person_single_face_headshot,portrait_single,0.95,0.070429,0.938233,0.75666,0.543915,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1032805069,person_single_face_headshot,portrait_single,0.95,0.077124,0.95771,0.896754,0.690266,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1055464004,person_single_face_headshot,portrait_single,0.95,0.04864,0.848147,0.995438,0.999225,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1081424546,person_single_face_headshot,portrait_single,0.95,0.111436,0.370036,0.694888,0.817784,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1082161940,person_single_face_headshot,portrait_single,0.95,0.084764,0.92407,0.791357,0.808187,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1090148975,person_single_face_headshot,portrait_single,0.95,0.040736,0.941245,0.90962,0.831744,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1094747942,person_single_face_headshot,portrait_single,0.95,0.102957,0.423753,0.980509,0.917801,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1106393150,person_single_face_headshot,portrait_single,0.95,0.049652,0.930323,0.885097,0.841507,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1140920414,person_single_face_headshot,portrait_single,0.95,0.037871,0.916944,0.851779,0.744606,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1146940160,person_single_face_headshot,portrait_single,0.95,0.025763,0.949299,0.708871,0.655411,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1160292526,person_single_face_headshot,portrait_single,0.95,0.088962,0.953045,0.754259,0.693078,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1191817105,person_single_face_headshot,portrait_single,0.95,0.0,0.627188,0.808609,0.387769,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1193120977,person_single_face_headshot,portrait_single,0.95,0.083969,0.954035,0.874945,0.747618,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1193932348,person_single_face_headshot,portrait_single,0.95,0.019956,0.907908,0.734242,0.589774,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1216274137,person_single_face_headshot,portrait_single,0.95,0.027879,0.923122,0.789693,0.715909,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1249310416,person_single_face_headshot,portrait_single,0.83,0.036764,0.5926,0.826945,0.808136,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1251546727,person_single_face_headshot,portrait_single,0.95,0.071984,0.767179,1.0,0.653356,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1259299885,person_single_face_headshot,portrait_single,0.95,0.020518,0.841944,0.798918,0.883656,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1262417284,person_single_face_headshot,portrait_single,0.95,0.074944,0.921641,0.829485,0.888557,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1366720133,person_single_face_headshot,portrait_single,0.95,0.067482,0.937208,0.97323,0.641867,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1368525119,person_single_face_headshot,portrait_single,0.95,0.09079,0.801593,0.748191,0.506398,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1408502999,person_single_face_headshot,portrait_single,0.95,0.035294,0.500285,0.892783,0.86984,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1411349012,person_single_face_headshot,portrait_single,0.95,0.081801,0.91812,0.854672,0.797147,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1423627205,person_single_face_headshot,portrait_single,0.95,0.0,0.950221,0.590204,0.687868,False,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=0,False
sstk_image_1441855415,person_single_face_headshot,portrait_single,0.95,0.058105,0.398668,0.94542,0.667668,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1472922422,person_single_face_headshot,portrait_single,0.95,0.069418,0.828292,0.896541,0.704437,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1511374670,person_single_face_headshot,portrait_single,0.95,0.114022,0.548358,1.0,0.899448,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1520431016,person_single_face_headshot,portrait_single,0.95,0.097169,0.960495,0.902146,0.812129,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1527146537,person_single_face_headshot,portrait_single,0.95,0.038574,0.566485,0.859391,0.705362,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1536045170,person_single_face_headshot,portrait_single,0.95,0.044729,0.924611,0.961492,0.802586,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1537319063,person_single_face_headshot,portrait_single,0.95,0.08748,0.745229,0.82019,0.70265,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1546067765,person_single_face_headshot,portrait_single,0.95,0.073231,0.352031,1.0,0.613815,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1565670898,person_single_face_headshot,portrait_single,0.95,0.041128,0.892718,0.629275,0.693999,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1575427330,person_single_face_headshot,portrait_single,0.95,0.045773,0.928818,0.888127,0.777562,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1575539143,person_single_face_headshot,portrait_single,0.95,0.031032,0.9738,0.931591,0.854991,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_158355500,person_single_face_headshot,portrait_single,0.95,0.055418,0.933588,0.810184,0.784665,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1606469251,person_single_face_headshot,portrait_single,0.95,0.119518,0.885064,0.810744,0.681634,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1607701297,person_single_face_headshot,portrait_single,0.95,0.075799,0.96182,0.90517,0.720127,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1608033145,person_single_face_headshot,portrait_single,0.95,0.0,0.866483,0.973097,0.994791,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1611718510,person_single_face_headshot,portrait_single,0.95,0.075401,0.921965,0.812207,0.654159,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1627444687,person_single_face_headshot,portrait_single,0.95,0.093792,0.378804,0.497816,0.560657,False,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=0,False
sstk_image_1647689560,person_single_face_headshot,portrait_single,0.95,0.120823,0.962548,0.984523,0.640282,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1649796778,person_single_face_headshot,portrait_single,0.95,0.106946,0.595889,0.908873,0.992931,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1653447358,person_single_face_headshot,portrait_single,0.95,0.037133,0.917792,0.898412,0.736017,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1704444244,person_single_face_headshot,portrait_single,0.95,0.011712,0.586098,0.699293,0.773082,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1715987716,person_single_face_headshot,portrait_single,0.95,0.012607,0.858545,0.771054,0.840249,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1716035917,person_single_face_headshot,portrait_single,0.95,0.074058,0.741353,0.947104,0.817639,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1730141206,person_single_face_headshot,portrait_single,0.95,0.083209,0.987478,0.845178,0.848795,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_1756305947,person_single_face_headshot,portrait_single,0.95,0.034739,0.966758,0.725931,0.574118,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
